ID,state,muni,county,zoning,zoning_name,likelyres,count_zoning
3055,NJ,Vineland,Cumberland County,RT,Residential Townhouse,1,2
683,MD,Charles,Charles,RV,Village Residential,1,2
3272,NJ,Victory Gardens Borough,Morris County,S-1,Single and Two-Family Residential,1,2
576,MD,Cecil,Cecil,SAR,Southern Agricultural Residential,1,2
561,MD,Sudlersville,Queen Anne's,SF,Single Family Residential,1,2
3099,NJ,Mine Hill Township,Morris County,SF,"Residential, Single-Family",1,2
3569,NJ,Denville Township,Morris County,T-1,Townhouse,1,2
3568,NJ,Denville Township,Morris County,T-4,Townhouse,1,2
1950,NJ,Denville Township,Morris County,T-5,Multi-Family,1,2
451,MD,Montgomery,Montgomery,THD,Residential Townhouse,1,2
3033,NJ,Ocean City,Cape May County,Triplex/Quad,Residential Multi-Family Bayfront Zone,1,2
3036,NJ,Ocean City,Cape May County,Triplex/Quad,Residential Multi-Family Zone,1,2
646,MD,Queen Anne's,Queen Anne's,UR,Urban Residential District,1,2
667,MD,Cecil,Cecil,UR,Urbanized Residential,1,2
3692,NJ,Chester Borough,Morris County,WR,Woodland/Residential,1,2
1152,NJ,Montgomery,Somerset County,BMPUD,Country Club Meadows and Belle Mead Plaza Mixed Use Inclusionary Development,1,2
954,NJ,Pohatcong Township,Warren County,BR,Business Residential Mixed-Use,1,2
95,MD,Annapolis,Anne Arundel,C2,Conservation Business,,2
107,MD,Talbot,Talbot,CP,Countryside Preservation,,2
1242,NJ,Middlesex County,Sayreville borough,G-1,Garden Apartment,1,2
1832,NJ,Wharton Borough,Morris County,MB,Mixed Business,1,2
228,MD,Annapolis,Anne Arundel,MX,Mixed Use,1,2
333,MD,Charles,Charles,MX,Planned Development Zone - Mixed Use ,1,2
229,MD,Howard,Howard,MXD-3,Mixed Use,1,2
1845,NJ,Edgewater,Bergen County,MXD-3,mixed use district,1,2
348,MD,Annapolis,Anne Arundel,PM,Professional Mixed Office,1,2
2429,NJ,Howell,Monmouth County,PMU,Planned Mixed Use ,1,2
2430,NJ,Hackettstown Town,Warren County,PMU,Planned Mixed Use Downtown Development,1,2
3025,NJ,Parsippany-Troy Hills Township,Morris County,R-1M,Residential Mixed Use Option,1,2
225,MD,Ridgley,Caroline,R-2 ,Mixed Residential District,1,2
2069,NJ,Cherry Hill,Camden County,R7,Multi-Residential Zone,1,2
2691,NJ,Pequannock Township,Morris County,R-87,Residence,1,2
3633,NJ,Wanaque Borough,Passaic County,R-87,Very Low Density Residence,1,2
2943,NJ,Monroe,Gloucester County, RA (Two-family dwelling),Residential Age-Restricted District,1,1
696,NJ,Mendham Borough,Morris County,1/2-AC,1/2 Acre Residential,1,1
700,NJ,Mendham Borough,Morris County,1/4-AC,1/4 Acre Residential,1,1
692,NJ,Mendham Borough,Morris County,1-AC,1 Acre Residential,1,1
702,NJ,Mendham Borough,Morris County,3-AC,3 Acre Residential,1,1
704,NJ,Mendham Borough,Morris County,5-AC,5 Acre Residential,1,1
710,NJ,Bridgewater township,Somerset County,AAR,Active Adult Residential,1,1
709,NJ,Lopatcong Township,Warren County,AARC,Active Adult Residential,1,1
856,NJ,Middlesex County,Old Bridge township,AF,Apartment Family,1,1
784,NJ,Morris Plains Borough,Morris County,AF-1,Affordable Residential,1,1
785,NJ,Morris Plains Borough,Morris County,AF-2,Affordable Residential District,1,1
2829,NJ,Hillsborough,Somerset County,AH and RCA,Residential,1,1
788,NJ,Roxbury Township,Morris County,AH-3A,Affordable Senior Citizen/Multi-Family Residential,1,1
789,NJ,Roxbury Township,Morris County,AH-3B,Affordable Senior Citizen/Multi-Family Residential Option,1,1
2767,NJ,Egg Harbor City,Atlantic County,AHO-A,Residential,1,1
713,NJ,Wharton Borough,Morris County,ALR,Adult Living Residential,1,1
861,NJ,Montgomery,Somerset County,APT/TH,Apartment/Townhouse Residential,1,1
799,NJ,Deptford township,Gloucester County,AR-2,Age-Restricted Residential 2 District,1,1
831,NJ,Oxford Township,Warren County,AR-200,Agricultural-Residential,1,1
830,NJ,Harmony Township,Warren County,AR-250,Agricultural/Residential,1,1
828,NJ,Harmony Township,Warren County,AR-300,Agricultural/Residential,1,1
824,NJ,Green Township,Sussex County,AR-5/2,Agricultural Residential,1,1
829,NJ,Harmony Township,Warren County,AR-500,Agricultural/Residential,1,1
825,NJ,Frelinghuysen Township,Warren County,AR-6,Agricultural Residential (6 acres),1,1
794,NJ,Washington Borough,Warren County,AR-7,Age Restricted Residential Zone District,1,1
714,NJ,Riverdale Borough,Morris County,ARD,Adult Residential,1,1
967,NJ,Bound Brook,Somerset County,B/R,Business/Residential District,1,1
952,NJ,Township of Warren,Somerset County,BR-40,Business residential 1 acre,1,1
953,NJ,Township of Warren,Somerset County,BR-80,business residential 2 acre,1,1
2013,NJ,Florham Park borough,Morris County,C-1MF,Multifamily Residential Housing,1,1
1957,NJ,Florham Park borough,Morris County,C-1MFAR,Multifamily Age Restricted Housing,1,1
3111,NJ,Linden,Union County,C-2 (40),residential/retail commercial,1,1
2418,NJ,Manalapan township,Monmouth,C2-M,Planned Development - Neighborhood Business/Multifamily Option,1,1
100,MD,Charles,Charles,CER,Core Employment/Residential,1,1
1154,NJ,Belvidere Town,Warren County,CH,Courthouse,1,1
1007,NJ,Franklin Township,Somerset County,C-R (Interior),Cluster Residential,1,1
47,MD,Montgomery,Montgomery,CR0.5,Commercial Residential,1,1
48,MD,Montgomery,Montgomery,CR0.7,Commercial Residential,1,1
1141,NJ,Mendham Township,Morris County,CR-1,Conventional Single Unit Residential,1,1
49,MD,Montgomery,Montgomery,CR1.0,Commercial Residential,1,1
50,MD,Montgomery,Montgomery,CR1.2,Commercial Residential,1,1
51,MD,Montgomery,Montgomery,CR1.5,Commercial Residential,1,1
52,MD,Montgomery,Montgomery,CR1.7,Commercial Residential,1,1
703,NJ,Township of Warren,Somerset County,CR-130/65,3-1 1/2 acre environmental critical rural residential district,1,1
1140,NJ,Mendham Township,Morris County,CR-2,Conventional Single Unit Residential,1,1
53,MD,Montgomery,Montgomery,CR2.0,Commercial Residential,1,1
54,MD,Montgomery,Montgomery,CR2.2,Commercial Residential,1,1
55,MD,Montgomery,Montgomery,CR2.5,Commercial Residential,1,1
56,MD,Montgomery,Montgomery,CR2.7,Commercial Residential,1,1
1083,NJ,Mount Olive Township,Morris County,CR-3,Commercial/Residential,1,1
57,MD,Montgomery,Montgomery,CR3.0,Commercial Residential,1,1
58,MD,Montgomery,Montgomery,CR3.5,Commercial Residential,1,1
59,MD,Montgomery,Montgomery,CR4.0,Commercial Residential,1,1
60,MD,Montgomery,Montgomery,CR5.0,Commercial Residential,1,1
61,MD,Montgomery,Montgomery,CR5.2,Commercial Residential,1,1
62,MD,Montgomery,Montgomery,CR6.0,Commercial Residential,1,1
63,MD,Montgomery,Montgomery,CR6.2,Commercial Residential,1,1
64,MD,Montgomery,Montgomery,CR7.2,Commercial Residential,1,1
65,MD,Montgomery,Montgomery,CR8.0,Commercial Residential,1,1
81,MD,Montgomery,Montgomery,CRN,Commercial/Residential,1,1
67,MD,Montgomery,Montgomery,CRN0.2,Commercial Residential Neighborhood,1,1
68,MD,Montgomery,Montgomery,CRN0.7,Commercial Residential Neighborhood,1,1
66,MD,Montgomery,Montgomery,CRN1.0,Commercial Residential Neighborhood,1,1
102,MD,Charles,Charles,CRR,Core Retail/Residential,1,1
82,MD,Montgomery,Montgomery,CRT,Commercial/Residential,1,1
69,MD,Montgomery,Montgomery,CRT0.2,Commercial Residential Town,1,1
70,MD,Montgomery,Montgomery,CRT0.7,Commercial Residential Town,1,1
71,MD,Montgomery,Montgomery,CRT1.0,Commercial Residential Town,1,1
72,MD,Montgomery,Montgomery,CRT1.2,Commercial Residential Town,1,1
73,MD,Montgomery,Montgomery,CRT1.7,Commercial Residential Town,1,1
74,MD,Montgomery,Montgomery,CRT2.0,Commercial Residential Town,1,1
75,MD,Montgomery,Montgomery,CRT2.2,Commercial Residential Town,1,1
76,MD,Montgomery,Montgomery,CRT3.0,Commercial Residential Town,1,1
77,MD,Montgomery,Montgomery,CRT4.0,Commercial Residential Town,1,1
109,MD,Baltimore County,Baltimore,D.R.1,"Density Residential, 1.0 dwelling unit per acre",1,1
110,MD,Baltimore County,Baltimore,D.R.10.5,"Density Residential, 10.5 dwelling units per acre",1,1
111,MD,Baltimore County,Baltimore,D.R.16,"Density Residential, 16.0 density units per acre",1,1
112,MD,Baltimore County,Baltimore,D.R.2,"Density Residential, 2.0 dwelling units per acre",1,1
113,MD,Baltimore County,Baltimore,D.R.3.5,"Density Residential, 3.5 dwelling units per acre",1,1
114,MD,Baltimore County,Baltimore,D.R.5.5,"Density Residential, 5.5 dwelling units per acre",1,1
129,MD,Frederick,Frederick,DR,Downtown Residential,1,1
1214,NJ,Township of Warren,Somerset County,ECR,environmental critical rural residential district,1,1
705,NJ,Township of Warren,Somerset County,EP-250,6 acre residential envronmental protection,1,1
1235,NJ,Wanaque Borough,Passaic County,FAR,Fourth Avenue Residential,1,1
1231,NJ,Monroe,Gloucester County,FD-10,Forest Residential District 10,1,1
1232,NJ,Monroe,Gloucester County,FD-40,Forest Residential District 40,1,1
3009,NJ,Marlboro township,Monmouth,FRD,Residential District,1,1
3010,NJ,Marlboro township,Monmouth,FSC,Residential District,1,1
1333,NJ,Washington Township,Morris County,GC/R,Golf Course/Residential,1,1
2145,NJ,Manalapan township,Monmouth,GCRC,NJSH 33 Corridor Development - Golf Course Residential Community,1,1
151,MD,Queen Anne's,Queen Anne's,GPRN,Grasonville Planned Residential Neighborhood District,1,1
1475,NJ,Franklin Borough,Sussex County,HMF,Hospital Multifamily,1,1
1459,NJ,East Brunswick,Middlesex County,HRP,Historic District-Residential/Preservation District,1,1
1488,NJ,Bloomingdale Borough,Passaic County,IMF,Inclusionary Multi-Family,1,1
1489,NJ,Cranford,Union County,IMR,inclusionary multifamily residence district,1,1
1603,NJ,Branchburg township,Somerset County,LD,LD - Low Density/1 Acre Residential,1,1
1728,NJ,Hope Township,Warren County,LDAR,Low-Density Agricultural Residential,1,1
1729,NJ,Hope Township,Warren County,LDAR-H,Low-Density Agricultural Residential-Historic,1,1
186,MD,Cecil,Cecil,LDR,Low Density Residential,1,1
1644,NJ,Middlesex County,South Brunswick township,LI-4/RR,Light industrial/rural residential,1,1
1677,NJ,Parsippany-Troy Hills Township,Morris County,LIW-2/R-3,Limited Industrial Wholesale / Residential,1,1
1720,NJ,Secaucus town,Hudson County,Low Density,Low Density Residential Zone,1,1
1717,NJ,Island Heights township*,Ocean County,Low Density Residential District,Low Density Residential District,1,1
2980,NJ,Edison,Middlesex County,L-R (Single-family detached),Residential District,1,1
2981,NJ,Edison,Middlesex County,L-R (Townhouses),Residential District,1,1
2982,NJ,Edison,Middlesex County,L-R Multifamily dwellings),Residential District,1,1
182,MD,Deep Creek Lake,Garrett,LR1,Lake Residential 1 District ,1,1
183,MD,Deep Creek Lake,Garrett,LR2,Lake Residential 2 District ,1,1
204,MD,Dorchester,Dorchester,M-A-R,Maritime-Agricultural-Residential ,1,1
1792,NJ,Island Heights township*,Ocean County,Medium Density Residential District,Medium Density Residential District,1,1
2019,NJ,Woodbridge,Middlesex County,MF-2/A (Multifamily dwellings),Multifamily Residential Zone,1,1
2017,NJ,Woodbridge,Middlesex County,MF-2/A (Single-family semi-attached and attached dwellings),Multifamily Residential Zone,1,1
2018,NJ,Woodbridge,Middlesex County,MF-2/A (Two-family dwellings),Multifamily Residential Zone,1,1
2022,NJ,Woodbridge,Middlesex County,MF-2/B (Multifamily dwellings),Multifamily Residential Zone,1,1
2020,NJ,Woodbridge,Middlesex County,MF-2/B (Single-family semi-attached and attached dwellings),Multifamily Residential Zone,1,1
2021,NJ,Woodbridge,Middlesex County,MF-2/B (Two-family dwelling),Multifamily Residential Zone,1,1
2025,NJ,Woodbridge,Middlesex County,MF-2/C (Multi-family dwellings),Multifamily Residential Zone,1,1
2023,NJ,Woodbridge,Middlesex County,MF-2/C (Single-family semi-attached and attached dwellings),Multifamily Residential Zone,1,1
2024,NJ,Woodbridge,Middlesex County,MF-2/C (Two-family dwellings),Multifamily Residential Zone,1,1
2028,NJ,Woodbridge,Middlesex County,MF-3/C (Multifamily dwellings),Multifamily Residential Zone,1,1
2026,NJ,Woodbridge,Middlesex County,MF-3/C (Single-family semi-attached and attached dwellings),Multifamily Residential Zone,1,1
2027,NJ,Woodbridge,Middlesex County,MF-3/C (Two-family dwellings),Multifamily Residential Zone,1,1
2034,NJ,Florham Park borough,Morris County,MF-4,Multifamily Residential Zone,1,1
2035,NJ,Florham Park borough,Morris County,MF-5,Multifamily Residential Zone,1,1
2036,NJ,Florham Park borough,Morris County,MF-6,Multifamily Residential Zone,1,1
2037,NJ,Florham Park borough,Morris County,MF-7,Multifamily Residential Zone,1,1
2038,NJ,Florham Park borough,Morris County,MF-8,Multifamily Residential Zone,1,1
2039,NJ,Florham Park borough,Morris County,MF-9,Multifamily Residential Zone,1,1
1958,NJ,Belvidere Town,Warren County,MFATH,Multi-Family and Age Targeted Housing,1,1
1961,NJ,Marlboro township,Monmouth,MFD-I,Multifamily District,1,1
1962,NJ,Marlboro township,Monmouth,MFD-II,Multifamily District,1,1
1963,NJ,Marlboro township,Monmouth,MFD-III,Multifamily District,1,1
1964,NJ,Marlboro township,Monmouth,MFD-IV,Multifamily District,1,1
1942,NJ,Lopatcong Township,Warren County,MFI,Multi Family Inclusionary,1,1
2056,NJ,Marlboro township,Monmouth,MFPHD,Multifamily/Patio Home District,1,1
2029,NJ,Woodbridge,Middlesex County,MF-TH,Multifamily Residential Zone,1,1
2044,NJ,Victory Gardens Borough,Morris County,MF-TH-C,Multifamily Townhouse/Condominium,1,1
2806,NJ,Bernards Township,Somerset County,MH-1,Residential,1,1
1896,NJ,Mahwah Township,Bergen County,ML-1,Moderate and Low Residential,1,1
1895,NJ,Mahwah Township,Bergen County,ML-2,Moderate and Low Residential,1,1
1803,NJ,Stanhope Borough,Sussex County,MLR,Medium Low Density Residential,1,1
2417,NJ,Manalapan township,Monmouth,ML-TH,Planned Development - Mount Laurel Townhouse,1,1
2075,NJ,Franklin Borough,Sussex County,MPR,Munsonhurst Planned Residential,1,1
1938,NJ,Montgomery,Somerset County,MR/SI,Mountain Residential/Special Industrial,1,1
1761,NJ,Jersey City,Hudson County,MWORD,Marion Works Office/Residential Overlay District,1,1
296,MD,Cecil,Cecil,NAR,Northern Agricultural Residential,1,1
2107,NJ,Bound Brook,Somerset County,NB/R,Neighborhood Business/Residential,1,1
2281,NJ,Jersey City,Hudson County,O/R,Office/Residential,1,1
3059,NJ,Rockaway Township,Morris County,OR-3,"Residential Use, Office Use, Retail Sales and Service Use",1,1
2263,NJ,Cranford,Union County,ORC,office residential character district,1,1
3412,NJ,Morris Township,Morris County,OS-GU-25A,Single-Family Residential,1,1
3013,NJ,Marlboro township,Monmouth,PAC-II,Residential District,1,1
3014,NJ,Marlboro township,Monmouth,PAC-III,Residential District,1,1
2512,NJ,Florham Park borough,Morris County,PB-2,Professional and Business office Zone - Residential Appearance Required,1,1
3378,NJ,Middlesex County,Sayreville borough,PD-10,Single-Family Planned Development,1,1
3379,NJ,Middlesex County,Sayreville borough,PD-7,Single-Family Planned Development,1,1
2423,NJ,Greenwich Township,Warren County,PDSFZ,Planned Development Single Family Zone,1,1
2509,NJ,Vernon Township,Sussex County,PLC,Private Lake Community Residential,1,1
2434,NJ,Mine Hill Township,Morris County,PMARC,Planned Multifamily Age-Restricted Community,1,1
2435,NJ,Brick,Ocean County,PMRRC,Planned Multifamily Residential Retirement Commmunity Zone,1,1
2470,NJ,Washington,Gloucester County,PR-1 (Meeting Open Space Rquirements),Planned Residential One,1,1
2469,NJ,Washington,Gloucester County,PR-1 (Not Meeting Open Space Rquirements),Planned Residential One,1,1
436,MD,Poolesville,Montgomery,PR-1/2,Residential one-half (1/2) acre PR-1/2,1,1
438,MD,Poolesville,Montgomery,PR-1/3,Residential one-third (1/3) acre PR-1/3,1,1
2472,NJ,Washington,Gloucester County,PR-2,Planned Residential Two,1,1
2471,NJ,Washington,Gloucester County,PR-3,Planned Residential Three ,1,1
443,MD,Poolesville,Montgomery,PR-3/4,Residential three-quarter (3/4) acre PR-3/4,1,1
2468,NJ,Washington,Gloucester County,PR-4,Planned Residential Four,1,1
2465,NJ,Hazlet,Monmouth County,PRD (cluster single-family),Planned Residential Development District ,1,1
2463,NJ,Hazlet,Monmouth County,PRD (multifamily dwellings),Planned Residential Development District ,1,1
2464,NJ,Hazlet,Monmouth County,PRD (Patio homes),Planned Residential Development District ,1,1
2462,NJ,Hazlet,Monmouth County,PRD (townhouse),Planned Residential Development District ,1,1
2455,NJ,Middlesex County,South Brunswick township,PRD I,Planned residential development,1,1
2456,NJ,Middlesex County,South Brunswick township,PRD II,Planned residential development,1,1
2457,NJ,Middlesex County,South Brunswick township,PRD III,Planned residential development,1,1
2467,NJ,Middlesex County,South Brunswick township,PRD IV/AH,Planned residential development/affordable housing,1,1
2461,NJ,Parsippany-Troy Hills Township,Morris County,PRD-2,Planned Residential Development 2,1,1
2460,NJ,Mahwah Township,Bergen County,PRD-4S,Planned Residential Development - Special,1,1
2446,NJ,Mahwah Township,Bergen County,PRD-6,Planned Residential Development,1,1
2459,NJ,Independence Township,Warren County,PRD-IH,Planned Residential Development - Inclusionary Housing,1,1
2466,NJ,Independence Township,Warren County,PRD-SC,Planned Residential Development -Senior,1,1
2473,NJ,Harding Township,Morris County,PRN-RC,Planned Residential-Residential Cluster,1,1
2484,NJ,Independence Township,Warren County,PSCRD,Planned Senior Citizen Residential Development,1,1
343,MD,St. Mary's,St. Mary's,PUDR,Planned Unit Development - Residential ,1,1
2495,NJ,Montville Township,Morris County,PURD,Planned Unit Residential Development,1,1
499,MD,Baltimore County,Baltimore,R.C.5,Resource Conservation - Rural Residential,1,1
523,MD,Baltimore County,Baltimore,R.C.6,Rural Conservation and Residential,1,1
3109,NJ,Randolph Township,Morris County,R/PO,Residential/Professional Office,1,1
3442,NJ,Andover,Sussex County,R-0.5,Single-Family Residential ,1,1
3450,NJ,Andover,Sussex County,R-0.5/A,Single-Family Residential 0.5/airport ,1,1
3443,NJ,Andover,Sussex County,R-1.0 ,Single-Family Residential ,1,1
3451,NJ,Andover,Sussex County,R-1.0/A-1,Single-Family Residential 1.0 /airport-1,1,1
3452,NJ,Andover,Sussex County,R-1.0/A-2,Single-Family Residential 1.0 /airport-2,1,1
3453,NJ,Andover,Sussex County,R-1.5/A-1,Single-Family Residential 1.5 /airport-1,1,1
3454,NJ,Andover,Sussex County,R-1.5/A-2,Single-Family Residential 1.5 /airport-2,1,1
2795,NJ,Roxbury Township,Morris County,R-1.8,Residential,1,1
2890,NJ,Hampton Borough,Hunterdon County,R-1/2a,Residential - 1/2A(a),1,1
2891,NJ,Hampton Borough,Hunterdon County,R-1/2b,Residential - 1/2A(b),1,1
2892,NJ,Hampton Borough,Hunterdon County,R-1/4,Residential - 1/4A,1,1
1382,NJ,West Milford Township,Passaic County,R-1/I,Higher Density Residential,1,1
1987,NJ,West Milford Township,Passaic County,R-1/PN,Multifamily Residential,1,1
3345,NJ,Washington Township,Morris County,R-1/R-2,Single-Family,1,1
2928,NJ,Parsippany-Troy Hills Township,Morris County,R-1/RCW,"Residential / Recreation, Conservation, Wildlife",1,1
252,MD,Prince George's,Prince George's,R-10 ,Multifamily High Density Residential ,1,1
3470,NJ,Bridgewater township,Somerset County,R-10.1,Single-Family Residential Zone,1,1
2535,NJ,Bridgewater township,Somerset County,R-10.C,Professional Office/Residential,1,1
2919,NJ,Lopatcong Township,Warren County,R-10/2,Residential (10 acre),1,1
2852,NJ,Ogdensburg Borough,Sussex County,R100,Residential,1,1
3008,NJ,Marlboro township,Monmouth,R-10AH,Residential District,1,1
3466,NJ,Long Beach,Ocean County,R-10E,Single-Family Residential Zone,1,1
400,MD,Easton,Talbot,R-10M,Residential District,1,1
2313,NJ,Fair Lawn,Bergen County,R-1-1,One family residential,1,1
2307,NJ,Lebanon Township,Hunterdon County,R-1-15,One Family Residence (15000 sqft),1,1
2309,NJ,Lebanon Township,Hunterdon County,R-1-15P,One Family Residence (Professional),1,1
2314,NJ,Fair Lawn,Bergen County,R-1-2,one family residential,1,1
3447,NJ,Hackettstown Town,Warren County,R-12.5,Single-Family Residential (12500 sqft),1,1
3476,NJ,Hackettstown Town,Warren County,R-12.5/OFF,Single-Family/Offices(12500 sqft),1,1
2860,NJ,Middlesex County,Old Bridge township,R120,Residential,1,1
2308,NJ,Lebanon Township,Hunterdon County,R-1-20,One Family Residence (20000 sqft),1,1
2924,NJ,Lopatcong Township,Warren County,R-120A,"Residential (20,000 SF)",1,1
3327,NJ,Hazlet,Monmouth County,R-125,Single Family Residential District,1,1
2883,NJ,Lakewood Township,Ocean,R12A,Residential,1,1
3372,NJ,Rockaway Township,Morris County,R-13,Single-Family Detached Residential,1,1
2315,NJ,Fair Lawn,Bergen County,R-1-3,one family residential,1,1
2336,NJ,Bloomingdale Borough,Passaic County,R-130,"One-Family Residential , 3 Acre",1,1
2152,NJ,Ocean City,Cape May County,R-1-30,Non-Discrete Residential R-1 Zones,1,1
2153,NJ,Ocean City,Cape May County,R-1-40,Non-Discrete Residential R-1 Zones,1,1
2955,NJ,Lakewood Township,Ocean,R-15/10C,Residential Cluster ,1,1
548,MD,Rockville,Montgomery,R150,Single Family 150,1,1
2154,NJ,Ocean City,Cape May County,R-1-50,Non-Discrete Residential R-1 Zones,1,1
2874,NJ,Middlesex County,Piscataway township,R-15A,Residential,1,1
156,MD,Frederick,Frederick,R-16,High Density Residential,1,1
2155,NJ,Ocean City,Cape May County,R-1-60,Non-Discrete Residential R-1 Zones,1,1
2878,NJ,Middlesex County,Piscataway township,R-17.5,Residential,1,1
258,MD,Prince George's,Prince George's,R-18C,Multifamily Medium Density Residential Condominium,1,1
868,NJ,Asbury Park City,Monmouth,R1A,Attached Single Family Residential Zone,1,1
570,MD,Annapolis,Anne Arundel,R1-A,single-family residence,1,1
571,MD,Annapolis,Anne Arundel,R1-B,single-family residence,1,1
389,MD,Oxford,Talbot,R-1-C,Residential Cluster District,1,1
647,MD,Harford,Harford,R1CCRC,Urban Residential District Continuing Care Retirement Community,1,1
663,MD,Harford,Harford,R1COS,Urban Residential District with Conventional with Open Space (COS),1,1
655,MD,Harford,Harford,R1HFE,Urban Residential District Housing for the Elderly,1,1
659,MD,Harford,Harford,R1PRD,Urban Residential District Planned Residential Development ,1,1
3511,NJ,Dover Town,Morris County,R-1S,Steep Slope Single-Family,1,1
3530,NJ,Monroe,Gloucester County,R-2 (Cluster Option),Suburban Residential Option District,1,1
3273,NJ,Newark,Essex County,R-2 (Single-family),Single- and Two-Family Residential,1,1
3274,NJ,Newark,Essex County,R-2 (Two-family),Single- and Two-Family Residential,1,1
3352,NJ,Middlesex County,South Brunswick township,R-2.1,Single-family,1,1
698,NJ,Township of Warren,Somerset County,R-20(V),1/2 acre residential,1,1
699,NJ,Township of Warren,Somerset County,R-20(v)PAC,1/2 acre residential/planned adult community,1,1
3355,NJ,Bridgewater township,Somerset County,R-20.1,Single-Family Affordable Residential,1,1
2956,NJ,Lakewood Township,Ocean,R-20/12 C,Residential Cluster ,1,1
3005,NJ,Marlboro township,Monmouth,R-20/15,Residential District,1,1
3377,NJ,Rockaway Township,Morris County,R-20_AC,Single-Family Detached Residential,1,1
549,MD,Rockville,Montgomery,R200,Single Family 200,1,1
393,MD,Montgomery,Montgomery,R-200,Residential Detached,1,1
3006,NJ,Marlboro township,Monmouth,R-20AH-1,Residential District,1,1
3007,NJ,Marlboro township,Monmouth,R-20AH-2,Residential District,1,1
2916,NJ,Montville Township,Morris County,R-20B,Residential - Townhouse Option,1,1
2908,NJ,Montville Township,Morris County,R-20C,Residential - Office Building Option,1,1
457,MD,La Plata,Charles,R21,"Residential Zone - 21,000 sqft",1,1
3286,NJ,Hanover Township,Morris County,R-21,Single Family Residence,1,1
362,MD,Anne Arundel,Anne Arundel,R22,Residential,1,1
2156,NJ,Ocean City,Cape May County,R-2-30,Non-Discrete Residential R-2 Zones,1,1
2157,NJ,Ocean City,Cape May County,R-2-40,Non-Discrete Residential R-2 Zones,1,1
2158,NJ,Ocean City,Cape May County,R-2-50 5,Non-Discrete Residential R-2 Zones,1,1
2159,NJ,Ocean City,Cape May County,R-2-60,Non-Discrete Residential R-2 Zones,1,1
2781,NJ,Montville Township,Morris County,R-27A,Residential,1,1
2917,NJ,Montville Township,Morris County,R-27B,Residential - Townhouse Option,1,1
2899,NJ,Montville Township,Morris County,R-27C,Residential - Adult Community Housing Option,1,1
2909,NJ,Montville Township,Morris County,R-27D,Residential - Office Building Option,1,1
2910,NJ,Montville Township,Morris County,R-27E,Residential - Retail Option,1,1
648,MD,Harford,Harford,R2CCRC,Urban Residential District Continuing Care Retirement Community,1,1
664,MD,Harford,Harford,R2COS,Urban Residential District with Conventional with Open Space (COS),1,1
2362,NJ,Jersey City,Hudson County,R-2D,Palisade Avenue Mixed Use Multi-family Attached Housing District ,1,1
656,MD,Harford,Harford,R2HFE,Urban Residential District Housing for the Elderly,1,1
573,MD,Annapolis,Anne Arundel,R2-NC,single-family residence neighborhood conservation ,1,1
660,MD,Harford,Harford,R2PRD,Urban Residential District Planned Residential Development ,1,1
575,MD,Ridgley,Caroline,R-3 ,Single-Family Residential District/Agricultural District,1,1
2836,NJ,North Plainfield,Somerset County,R-3 - EXTRA,Residential,1,1
2319,NJ,Newark,Essex County,R-3 (Single-family),One- to Three-Family and Town House Residential,1,1
2321,NJ,Newark,Essex County,R-3 (Three-family),One- to Three-Family and Town House Residential,1,1
2322,NJ,Newark,Essex County,R-3 (Townhouses),One- to Three-Family and Town House Residential,1,1
2320,NJ,Newark,Essex County,R-3 (Two-family),One- to Three-Family and Town House Residential,1,1
2925,NJ,Lopatcong Township,Warren County,R-3/2,Residential (3 acre),1,1
3475,NJ,Middlesex County,South Brunswick township,R-3/I,Single-family/industrial,1,1
3001,NJ,Marlboro township,Monmouth,R-30/20,Residential District,1,1
256,MD,Prince George's,Prince George's,R-30C,Multifamily Low Density Residential Condominium,1,1
2058,NJ,Fair Lawn,Bergen County,R-3-1,multiple family residential,1,1
2059,NJ,Fair Lawn,Bergen County,R-3-2,multiple family residential,1,1
1315,NJ,Long Beach,Ocean County,R-36,General Residential Zone,1,1
2791,NJ,Parsippany-Troy Hills Township,Morris County,R-3A(RCA),Residential,1,1
3342,NJ,Boonton Town,Morris County,R-3B,"Single/Two Family Residential (6,250 SF)",1,1
649,MD,Harford,Harford,R3CCRC,Urban Residential District Continuing Care Retirement Community,1,1
665,MD,Harford,Harford,R3COS,Urban Residential District with Conventional with Open Space (COS),1,1
657,MD,Harford,Harford,R3HFE,Urban Residential District Housing for the Elderly,1,1
661,MD,Harford,Harford,R3PRD,Urban Residential District Planned Residential Development ,1,1
3113,NJ,Mount Olive Township,Morris County,R-3SC,Residential/Senior Citizen,1,1
2838,NJ,North Plainfield,Somerset County,R-4 - EXTRA,Residential,1,1
2298,NJ,Bound Brook,Somerset County,R-4 (attached two-family dwellings),One- and Two-Family Residence District,1,1
2297,NJ,Bound Brook,Somerset County,R-4 (detached single-family dwellings),One- and Two-Family Residence District,1,1
3358,NJ,Bridgewater township,Somerset County,R-40 MDU-1,Single-Family and Multiple-Dwelling Residential,1,1
3073,NJ,Freehold Township,Monmouth County,R-40 Overlay ,Residential Zone,1,1
2496,NJ,Bridgewater township,Somerset County,R-40 PURD,Planned Unit Residential Development,1,1
3523,NJ,Manalapan township,Monmouth,R-40/20,Suburban Residential - Single Family,1,1
2957,NJ,Lakewood Township,Ocean,R-40/20 C,Residential Cluster ,1,1
3102,NJ,Freehold Township,Monmouth County,R-40/P,Residential/ Professional Office,1,1
