jurscode,county,muni,premcity,zoneauth,zoning,zoning_name
WICO,Wicomico,Fruitland,FRUITLAND,MUNICIPALITY,F-R1C,No Name
WICO,Wicomico,Fruitland,FRUITLAND,MUNICIPALITY,F-R1D,No Name
WICO,Wicomico,Fruitland,FRUITLAND,MUNICIPALITY,F-R1E,No Name
WICO,Wicomico,Fruitland,FRUITLAND,MUNICIPALITY,F-R2,No Name
WICO,Wicomico,Fruitland,FRUITLAND,MUNICIPALITY,F-R3,No Name
WICO,Wicomico,Fruitland,FRUITLAND,MUNICIPALITY,F-R4,No Name
WICO,Wicomico,Fruitland,FRUITLAND,MUNICIPALITY,F-W1,No Name
CECI,Cecil,Cecil,CECIL,COUNTY,NAR,Northern Agricultural Residential
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,OT,Office and Technology
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,OR-1,Office Building -- Residential
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,OR-2,Office Building -- Residential
QUEE,Queen Anne's,Church Hill,CHURCH HILL,MUNICIPALITY,OP,Office Professional District
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,OR,Office-Residential Zoning District
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,OR-1,Office-Residential Zoning District
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,OR-2,Office-Residential Zoning District
KENT,Kent,Millington,MILLINGTON,MUNICIPALITY,R-3,Old Town Residential District
CARO,Caroline,Federalsburg,FEDERALSBURG,MUNICIPALITY,R-2,One-and-Two Family Residential
PRIN,Prince George's,Prince George's,PRINCE GEORGE'S,COUNTY,R-80,One-Family Detached Residential
PRIN,Prince George's,Prince George's,PRINCE GEORGE'S,COUNTY,R-55,One-Family Detached Residential
PRIN,Prince George's,Prince George's,PRINCE GEORGE'S,COUNTY,R-35,"One-Family Semidetached, and Two-Family Detached Residential"
PRIN,Prince George's,Prince George's,PRINCE GEORGE'S,COUNTY,R-20,One-Family Triple-Attached Residential
PRIN,Prince George's,Prince George's,PRINCE GEORGE'S,COUNTY,O-S,Open Space
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,PD2,Planned Development
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,PD3,Planned Development
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,PD4,Planned Development
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,PD5,Planned Development
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,PD7,Planned Development
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,PD9,Planned Development
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,PD11,Planned Development
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,PD13,Planned Development
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,PD15,Planned Development
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,PD18,Planned Development
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,PD22,Planned Development
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,PD25,Planned Development
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,PD28,Planned Development
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,PD35,Planned Development
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,PD44,Planned Development
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,PD60,Planned Development
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,PD68,Planned Development
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,PD75,Planned Development
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,PD88,Planned Development
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,PD100,Planned Development
SOME,Somerset,Crisfield,CRISFIELD,MUNICIPALITY,PDD,Planned Development District 
CHAR,Charles,Charles,CHARLES,COUNTY,PMH,Planned Development Zone - 
CHAR,Charles,Charles,CHARLES,COUNTY,MX,Planned Development Zone - Mixed Use 
CHAR,Charles,Charles,CHARLES,COUNTY,TOD,Planned Development Zone - Transit Oriented Development 
CHAR,Charles,Charles,CHARLES,COUNTY,PRD,Planned Development Zone -Planned Residential Development Zone
QUEE,Queen Anne's,Sudlersville,SUDLERSVILLE,MUNICIPALITY,PN,Planned Neighborhood District Floating Zone
WICO,Wicomico,Salisbury,SALISBURY,MUNICIPALITY,PRD,Planned Residential District 
HOWA,Howard,Howard,HOWARD,COUNTY,PSC,Planned Senior Community
WASH,Washington,Hagerstown,HAGERSTOWN,MUNICIPALITY,PUD-V,Planned Unit Development 
WASH,Washington,Hagerstown,HAGERSTOWN,MUNICIPALITY,PUD-R,Planned Unit Development 
STMA,St. Mary's,St. Mary's,ST. MARY'S,COUNTY,PUD-X,Planned Unit Development - Mixed Use
STMA,St. Mary's,St. Mary's,ST. MARY'S,COUNTY,PUD-MHP,Planned Unit Development - Mobile Home Park
STMA,St. Mary's,St. Mary's,ST. MARY'S,COUNTY,PUDR,Planned Unit Development - Residential 
QUEE,Queen Anne's,Centreville,CENTREVILLE,MUNICIPALITY,PUD,Planned Unit Development District
GARR,Garrett,Mountain Lake Park,MOUNTAIN LAKE PARK,MUNICIPALITY,PD,Preservation District 
GARR,Garrett,Oakland County seat,OAKLAND COUNTY SEAT,MUNICIPALITY,PD,Preservation District 
WASH,Washington,Washington,WASHINGTON,COUNTY,P,Preservation District 
ANNE,Anne Arundel,Annapolis,ANNAPOLIS,MUNICIPALITY,PM,Professional Mixed Office
ANNE,Anne Arundel,Annapolis,ANNAPOLIS,MUNICIPALITY,PM2,Professional Mixed Office Park
ANNE,Anne Arundel,Annapolis,ANNAPOLIS,MUNICIPALITY,P,Professional Office
KENT,Kent,Chestertown,CHESTERTOWN,MUNICIPALITY,RB,professional office district
PRIN,Prince George's,Laurel,LAUREL,MUNICIPALITY,P-I,Public Institutional
PRIN,Prince George's,Prince George's,PRINCE GEORGE'S,COUNTY,R-O-S,Reserved Open Space
CARR,Carroll,Carroll,CARROLL,COUNTY,"R-40,000",Residence District
CARR,Carroll,Carroll,CARROLL,COUNTY,"R-7,500","Residence, Multi-Family District"
CARR,Carroll,Carroll,CARROLL,COUNTY,"R-20,000","Residence, Suburban District"
CARR,Carroll,Carroll,CARROLL,COUNTY,"R-10,000","Residence, Urban District"
ANNE,Anne Arundel,Anne Arundel,ANNE ARUNDEL,COUNTY,R1,Residential
ANNE,Anne Arundel,Anne Arundel,ANNE ARUNDEL,COUNTY,R10,Residential
ANNE,Anne Arundel,Anne Arundel,ANNE ARUNDEL,COUNTY,R15,Residential
ANNE,Anne Arundel,Anne Arundel,ANNE ARUNDEL,COUNTY,R2,Residential
ANNE,Anne Arundel,Anne Arundel,ANNE ARUNDEL,COUNTY,R22,Residential
ANNE,Anne Arundel,Anne Arundel,ANNE ARUNDEL,COUNTY,R5,Residential
QUEE,Queen Anne's,Queens Town,QUEENS TOWN,MUNICIPALITY,R-1 ,Residential
QUEE,Queen Anne's,Queens Town,QUEENS TOWN,MUNICIPALITY,R-2,Residential
SOME,Somerset,Princess Anne,PRINCESS ANNE,MUNICIPALITY,R-1,Residential
TALB,Talbot,Trappe,TRAPPE,MUNICIPALITY,R-1,Residential
TALB,Talbot,Trappe,TRAPPE,MUNICIPALITY,R-2,Residential
TALB,Talbot,Trappe,TRAPPE,MUNICIPALITY,R-3,Residential
WICO,Wicomico,Wicomico,WICOMICO,COUNTY,R-8,Residential
WICO,Wicomico,Wicomico,WICOMICO,COUNTY,R-15,Residential
WICO,Wicomico,Wicomico,WICOMICO,COUNTY,R-20,Residential
WICO,Wicomico,Wicomico,WICOMICO,COUNTY,R-30,Residential
WICO,Wicomico,Salisbury,SALISBURY,MUNICIPALITY,R-5,Residential
WICO,Wicomico,Salisbury,SALISBURY,MUNICIPALITY,R-5A,Residential
WICO,Wicomico,Salisbury,SALISBURY,MUNICIPALITY,R-8,Residential
WICO,Wicomico,Salisbury,SALISBURY,MUNICIPALITY,R-8A,Residential
WICO,Wicomico,Salisbury,SALISBURY,MUNICIPALITY,R-10,Residential
WICO,Wicomico,Salisbury,SALISBURY,MUNICIPALITY,R-10A,Residential
WICO,Wicomico,Salisbury,SALISBURY,MUNICIPALITY,RR-5A,Residential 
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,R-O,"Residential -- Office, 5.5 dwelling units per acre"
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,R-O-A,"Residential -- Office, Class A Office "
QUEE,Queen Anne's,Centreville,CENTREVILLE,MUNICIPALITY,R-3,Residential (high density)
SOME,Somerset,Princess Anne,PRINCESS ANNE,MUNICIPALITY,R-2,Residential (higher density)
QUEE,Queen Anne's,Centreville,CENTREVILLE,MUNICIPALITY,R-2,Residential (median density)
DORC,Dorchester,Cambridge,CAMBRIDGE,MUNICIPALITY,R,Residential (R ) District 
PRIN,Prince George's,Prince George's,PRINCE GEORGE'S,COUNTY,R-A,Residential Agricultural
MONT,Montgomery,Gaithersburg,GAITHERSBURG,MUNICIPALITY,R-B,Residential Buffer
TALB,Talbot,Oxford,OXFORD,MUNICIPALITY,R-1-C,Residential Cluster District
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,RE-2,Residential Detached
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,RE-2C,Residential Detached
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,RE-1,Residential Detached
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,R-200,Residential Detached
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,R-90,Residential Detached
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,R-60,Residential Detached
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,R-40,Residential Detached
CECI,Cecil,Rising Sun,RISING SUN,MUNICIPALITY,R-O,Residential District
TALB,Talbot,Easton,EASTON,MUNICIPALITY,R-7A,Residential District
TALB,Talbot,Easton,EASTON,MUNICIPALITY,R-10A,Residential District
TALB,Talbot,Easton,EASTON,MUNICIPALITY,R-10M,Residential District
TALB,Talbot,Oxford,OXFORD,MUNICIPALITY,R-1,Residential District
TALB,Talbot,Oxford,OXFORD,MUNICIPALITY,R-3,Residential District
TALB,Talbot,St. Michaels,ST. MICHAELS,MUNICIPALITY,R-1,Residential District
TALB,Talbot,St. Michaels,ST. MICHAELS,MUNICIPALITY,R-2,Residential District
TALB,Talbot,St. Michaels,ST. MICHAELS,MUNICIPALITY,R-3,Residential District
WORC,Worcester,Pocomoke,POCOMOKE,MUNICIPALITY,R-1,Residential District
WORC,Worcester,Pocomoke,POCOMOKE,MUNICIPALITY,R-2,Residential District
WORC,Worcester,Pocomoke,POCOMOKE,MUNICIPALITY,R-3,Residential District
CALV,Calvert,Calvert,CALVERT,COUNTY,RD,Residential District 
WORC,Worcester,Berlin,BERLIN,MUNICIPALITY,R-1,Residential District 
WORC,Worcester,Berlin,BERLIN,MUNICIPALITY,R-2,Residential District 
WORC,Worcester,Berlin,BERLIN,MUNICIPALITY,R-4,"Residential District (on the map, this area includes PUD)"
TALB,Talbot,St. Michaels,ST. MICHAELS,MUNICIPALITY,RG,Residential Gateway District
MONT,Montgomery,Laytonsville,LAYTONSVILLE,MUNICIPALITY,RH,Residential Historic
GARR,Garrett,Oakland County seat,OAKLAND COUNTY SEAT,MUNICIPALITY,RIP,Residential Institutional-Professional 
ANNE,Anne Arundel,Anne Arundel,ANNE ARUNDEL,COUNTY,RLD,Residential Low Density
SOME,Somerset,Crisfield,CRISFIELD,MUNICIPALITY,R-1,Residential Low Density
SOME,Somerset,Crisfield,CRISFIELD,MUNICIPALITY,R-4,Residential Manufactured Home
SOME,Somerset,Crisfield,CRISFIELD,MUNICIPALITY,R-2,Residential Medium Density
CECI,Cecil,Cecil,CECIL,COUNTY,RMU,Residential Mixed Use
STMA,St. Mary's,St. Mary's,ST. MARY'S,COUNTY,RMX,residential mixed use
MONT,Montgomery,Rockville,ROCKVILLE,MUNICIPALITY,RMD10,Residential Moderate Density
MONT,Montgomery,Rockville,ROCKVILLE,MUNICIPALITY,RMD15,Residential Moderate Density
MONT,Montgomery,Rockville,ROCKVILLE,MUNICIPALITY,RMD25,Residential Moderate Density
SOME,Somerset,Crisfield,CRISFIELD,MUNICIPALITY,R-3,Residential Multifamily
WASH,Washington,Washington,WASHINGTON,COUNTY,RM,Residential Multi-family
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,R-10,Residential Multi-Unit High Density
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,R-30,Residential Multi-Unit Low Density
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,R-20,Residential Multi-Unit Medium Density
CHAR,Charles,Charles,CHARLES,COUNTY,RO,Residential Office
WASH,Washington,Hagerstown,HAGERSTOWN,MUNICIPALITY,RO,Residential Office 
HARF,Harford,Harford,HARFORD,COUNTY,RO,Residential Office  Conventional 
CECI,Cecil,Elkton,ELKTON,MUNICIPALITY,R-O,Residential Office District
HARF,Harford,Bel Air,BEL AIR,MUNICIPALITY,R-O,Residential Office District
MONT,Montgomery,Laytonsville,LAYTONSVILLE,MUNICIPALITY,R1,Residential One Acre
MONT,Montgomery,Poolesville,POOLESVILLE,MUNICIPALITY,PR-1/2,Residential one-half (1/2) acre PR-1/2
MONT,Montgomery,Laytonsville,LAYTONSVILLE,MUNICIPALITY,R2,Residential One-Half Acre
MONT,Montgomery,Poolesville,POOLESVILLE,MUNICIPALITY,PR-1/3,Residential one-third (1/3) acre PR-1/3
CALV,Calvert,North Beach,NORTH BEACH,MUNICIPALITY,R-1,Residential- single family
CALV,Calvert,North Beach,NORTH BEACH,MUNICIPALITY,R-2,Residential- single family & multifamily
QUEE,Queen Anne's,Church Hill,CHURCH HILL,MUNICIPALITY,SF ,"Residential Single Family District (SF, or R-SF)"
WASH,Washington,Washington,WASHINGTON,COUNTY,RS,Residential Subsurban
MONT,Montgomery,Poolesville,POOLESVILLE,MUNICIPALITY,PR-3/4,Residential three-quarter (3/4) acre PR-3/4
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,RT-6.0,Residential Townhouse
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,RT-8.0,Residential Townhouse
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,RT-10.0,Residential Townhouse
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,RT-12.5,Residential Townhouse
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,RT-15.0,Residential Townhouse
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,TLD,Residential Townhouse
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,TMD,Residential Townhouse
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,THD,Residential Townhouse
WASH,Washington,Washington,WASHINGTON,COUNTY,RT,Residential Transition
MONT,Montgomery,Laytonsville,LAYTONSVILLE,MUNICIPALITY,R3,Residential Two Acres
WASH,Washington,Washington,WASHINGTON,COUNTY,RU,Residential Urban
CALV,Calvert,Chesapeake Beach,CHESAPEAKE BEACH,MUNICIPALITY,R-V,Residential Village District 
CHAR,Charles,La Plata,LA PLATA,MUNICIPALITY,R10,"Residential Zone - 10,000 sqft"
CHAR,Charles,La Plata,LA PLATA,MUNICIPALITY,R21,"Residential Zone - 21,000 sqft"
CHAR,Charles,La Plata,LA PLATA,MUNICIPALITY,R3,"Residential Zone - 3,000 sqft"
CHAR,Charles,La Plata,LA PLATA,MUNICIPALITY,R5,"Residential Zone - 5,000 sqft"
CHAR,Charles,La Plata,LA PLATA,MUNICIPALITY,R8,"Residential Zone - 8,000 sqft"
QUEE,Queen Anne's,Centreville,CENTREVILLE,MUNICIPALITY,R-1,Residential(low density)
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,R.A.E.1,"Residential, Apartment, Elevator, 40.0 density units per acre"
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,R.A.E.2,"Residential, Apartment, Elevator, 80.0 density units per acre"
STMA,St. Mary's,St. Mary's,ST. MARY'S,COUNTY,RH,"residential, high density"
WASH,Washington,Hagerstown,HAGERSTOWN,MUNICIPALITY,RH,"Residential, High Density"
CECI,Cecil,Charlestown,CHARLESTOWN,MUNICIPALITY,R-3,"Residential, High-Density"
STMA,St. Mary's,St. Mary's,ST. MARY'S,COUNTY,RL,"residential, low density"
STMA,St. Mary's,St. Mary's,ST. MARY'S,COUNTY,RL-T,"residential, low density - transitional"
CECI,Cecil,Charlestown,CHARLESTOWN,MUNICIPALITY,R-1,"Residential, Low-Density"
CECI,Cecil,Charlestown,CHARLESTOWN,MUNICIPALITY,R-2,"Residential, Medium Density"
WASH,Washington,Hagerstown,HAGERSTOWN,MUNICIPALITY,RMED,"Residential, Medium Density"
WASH,Washington,Hagerstown,HAGERSTOWN,MUNICIPALITY,RMOD,"Residential, Moderate Density"
STMA,St. Mary's,St. Mary's,ST. MARY'S,COUNTY,RNC,"residential, neighborhood conservation"
CECI,Cecil,Charlestown,CHARLESTOWN,MUNICIPALITY,R-R,"Residential, Shoreline Recreational"
HOWA,Howard,Howard,HOWARD,COUNTY,R-A-15,Residential: Apartments
HOWA,Howard,Howard,HOWARD,COUNTY,R-APT,Residential: Apartments
HOWA,Howard,Howard,HOWARD,COUNTY,R-ED,Residential: Environmental Development
HOWA,Howard,Howard,HOWARD,COUNTY,R-H-ED,Residential: Historic
HOWA,Howard,Howard,HOWARD,COUNTY,R-MH,Residential: Mobile Home
HOWA,Howard,Howard,HOWARD,COUNTY,R-SI,Residential: Senior Institutional
HOWA,Howard,Howard,HOWARD,COUNTY,R-20,Residential: Single
HOWA,Howard,Howard,HOWARD,COUNTY,R-12,Residential: Single
HOWA,Howard,Howard,HOWARD,COUNTY,R-SA-8,Residential: Single Attached
HOWA,Howard,Howard,HOWARD,COUNTY,R-SC,Residential: Single Cluster
HOWA,Howard,Howard,HOWARD,COUNTY,R-VH,Residential: Village Housing
CALV,Calvert,Calvert,CALVERT,COUNTY,R-1,Residential; No zoning data but significant in parcel data
CALV,Calvert,Calvert,CALVERT,COUNTY,R-2,Residential; No zoning data but significant in parcel data
CALV,Calvert,Calvert,CALVERT,COUNTY,R-7_5,Residential; No zoning data but significant in parcel data
CALV,Calvert,Calvert,CALVERT,COUNTY,R-20,Residential; No zoning data but significant in parcel data
PRIN,Prince George's,Prince George's,PRINCE GEORGE'S,COUNTY,R-E,Residential-Estate
CECI,Cecil,Chesapeake City,CHESAPEAKE CITY,MUNICIPALITY,RC,Resource Conservation
FRED,Frederick,Frederick,FREDERICK,COUNTY,RC,Resource Conservation
TALB,Talbot,Talbot,TALBOT,COUNTY,RC,Resource Conservation
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,R.C.2,Resource Conservation - Agricultural
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,R.C.C.,Resource Conservation - Commercial 
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,R.C.20,Resource Conservation - Critical Area
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,R.C.50,Resource Conservation - Critical Area-Agriculture
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,R.C.3,Resource Conservation - Deferral of Planning and Development
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,R.C.5,Resource Conservation - Rural Residential
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,R.C.4,Resource Conservation - Watershed Protection
DORC,Dorchester,Cambridge,CAMBRIDGE,MUNICIPALITY,RC,Resource Conservation (RC)
DORC,Dorchester,Dorchester,DORCHESTER,COUNTY,RC,Resource Conservation District
KENT,Kent,Kent,KENT,COUNTY,RCD,Resource Conservation District
CALV,Calvert,Chesapeake Beach,CHESAPEAKE BEACH,MUNICIPALITY,RC,Resource Conservation District 
QUEE,Queen Anne's,Church Hill,CHURCH HILL,MUNICIPALITY,RC,Resource Conservation District 
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,R.C.7,Resource Preservation Zone
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,R-5,Rowhouse and Multi-Family Residential Zoning District
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,R-6,Rowhouse and Multi-Family Residential Zoning District
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,R-7,Rowhouse and Multi-Family Residential Zoning District
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,R-8,Rowhouse and Multi-Family Residential Zoning District
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,R-9,Rowhouse and Multi-Family Residential Zoning District
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,R-10,Rowhouse and Multi-Family Residential Zoning District
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,R,Rural 
ANNE,Anne Arundel,Anne Arundel,ANNE ARUNDEL,COUNTY,RA,Rural Agricultural 
CARO,Caroline,Denton ,DENTON ,MUNICIPALITY,RA,Rural Agriculture
GARR,Garrett,Mountain Lake Park,MOUNTAIN LAKE PARK,MUNICIPALITY,R,Rural Area
WASH,Washington,Washington,WASHINGTON,COUNTY,RB,Rural Business Existing 
KENT,Kent,Kent,KENT,COUNTY,RC,Rural Character
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,RC,Rural Cluster
CALV,Calvert,Calvert,CALVERT,COUNTY,RCD,Rural Community District 
CHAR,Charles,Charles,CHARLES,COUNTY,RC,Rural Conservation
HOWA,Howard,Howard,HOWARD,COUNTY,RC,Rural Conservation
BACO,Baltimore,Baltimore County,BALTIMORE COUNTY,COUNTY,R.C.6,Rural Conservation and Residential
KENT,Kent,Millington,MILLINGTON,MUNICIPALITY,R-1,Rural Conservation Residential District
STMA,St. Mary's,St. Mary's,ST. MARY'S,COUNTY,RCL,Rural Copmmercial Limited
MONT,Montgomery,Poolesville,POOLESVILLE,MUNICIPALITY,P-RD,Rural Density twenty five plus (25+) acres P-RD
GARR,Garrett,Accident,ACCIDENT,MUNICIPALITY,RD,Rural Development District 
GARR,Garrett,Friendsville,FRIENDSVILLE,MUNICIPALITY,RD,Rural Development District 
CARO,Caroline,Caroline,CAROLINE,COUNTY,R,Rural District
MONT,Montgomery,Montgomery,MONTGOMERY,COUNTY,RNC,Rural Neighborhood Cluster
STMA,St. Mary's,St. Mary's,ST. MARY'S,COUNTY,RPD,Rural preservation district
CECI,Cecil,Cecil,CECIL,COUNTY,RR,Rural Residential
CHAR,Charles,Charles,CHARLES,COUNTY,RR,Rural Residential
HOWA,Howard,Howard,HOWARD,COUNTY,RR,Rural Residential
KENT,Kent,Kent,KENT,COUNTY,RR,Rural residential
PRIN,Prince George's,Prince George's,PRINCE GEORGE'S,COUNTY,R-R,Rural Residential
TALB,Talbot,Talbot,TALBOT,COUNTY,RR,Rural Residential
DORC,Dorchester,Dorchester,DORCHESTER,COUNTY,RR,Rural Residential District
HARF,Harford,Harford,HARFORD,COUNTY,RR,Rural Residential District
TALB,Talbot,Oxford,OXFORD,MUNICIPALITY,R-R,Rural Residential District
WASH,Washington,Boonsboro,BOONSBORO,MUNICIPALITY,RR,Rural Residential District
WORC,Worcester,Worcester,WORCESTER,COUNTY,R-1 ,Rural Residential District 
DORC,Dorchester,Dorchester,DORCHESTER,COUNTY,RR-C,Rural Residential-Conservation District
GARR,Garrett,Deep Creek Lake,DEEP CREEK LAKE,MUNICIPALITY,RR,Rural Resource
STMA,St. Mary's,St. Mary's,ST. MARY'S,COUNTY,RSC,Rural Service Center
WASH,Washington,Washington,WASHINGTON,COUNTY,RV,Rural Village
TALB,Talbot,St. Michaels,ST. MICHAELS,MUNICIPALITY,SLC,Select Light Commercial District
MONT,Montgomery,Rockville,ROCKVILLE,MUNICIPALITY,R150,Single Family 150
MONT,Montgomery,Rockville,ROCKVILLE,MUNICIPALITY,R200,Single Family 200
MONT,Montgomery,Rockville,ROCKVILLE,MUNICIPALITY,R40,Single Family 40
MONT,Montgomery,Rockville,ROCKVILLE,MUNICIPALITY,R400,Single Family 400
MONT,Montgomery,Rockville,ROCKVILLE,MUNICIPALITY,R60,Single Family 60
MONT,Montgomery,Rockville,ROCKVILLE,MUNICIPALITY,R75,Single Family 75
MONT,Montgomery,Rockville,ROCKVILLE,MUNICIPALITY,R90,Single Family 90
CARO,Caroline,Caroline,CAROLINE,COUNTY,R-2 ,Single Family and Two Family Residential District
PRIN,Prince George's,Laurel,LAUREL,MUNICIPALITY,R-5,Single Family Detached
PRIN,Prince George's,Laurel,LAUREL,MUNICIPALITY,R-55,Single Family Detached
CECI,Cecil,Rising Sun,RISING SUN,MUNICIPALITY,R-1,Single Family District
CARO,Caroline,Federalsburg,FEDERALSBURG,MUNICIPALITY,R-1,Single Family Residential
CARO,Caroline,Preston ,PRESTON ,MUNICIPALITY,R-1,Single Family Residential
QUEE,Queen Anne's,Sudlersville,SUDLERSVILLE,MUNICIPALITY,SF,Single Family Residential
QUEE,Queen Anne's,Barclay,BARCLAY,MUNICIPALITY,R,Single Family Residential 
CARO,Caroline,Caroline,CAROLINE,COUNTY,R-1,Single Family Residential District
KENT,Kent,Millington,MILLINGTON,MUNICIPALITY,R-2,Single Family Residential District
KENT,Kent,Chestertown,CHESTERTOWN,MUNICIPALITY,R-1,single family residential district 
KENT,Kent,Chestertown,CHESTERTOWN,MUNICIPALITY,R-2,Single family residential district 
PRIN,Prince George's,Laurel,LAUREL,MUNICIPALITY,R-20,"Single family semi detached, two family detached"
PRIN,Prince George's,Laurel,LAUREL,MUNICIPALITY,R-MD,"single family, medium density"
ANNE,Anne Arundel,Annapolis,ANNAPOLIS,MUNICIPALITY,R1,single-family residence
ANNE,Anne Arundel,Annapolis,ANNAPOLIS,MUNICIPALITY,R1-A,single-family residence
ANNE,Anne Arundel,Annapolis,ANNAPOLIS,MUNICIPALITY,R1-B,single-family residence
ANNE,Anne Arundel,Annapolis,ANNAPOLIS,MUNICIPALITY,R2,single-family residence
ANNE,Anne Arundel,Annapolis,ANNAPOLIS,MUNICIPALITY,R2-NC,single-family residence neighborhood conservation 
CARO,Caroline,Ridgley,RIDGLEY,MUNICIPALITY,R-1,Single-Family Residential District
CARO,Caroline,Ridgley,RIDGLEY,MUNICIPALITY,R-3 ,Single-Family Residential District/Agricultural District
CECI,Cecil,Cecil,CECIL,COUNTY,SAR,Southern Agricultural Residential
ANNE,Anne Arundel,Annapolis,ANNAPOLIS,MUNICIPALITY,C2A,Special Conservation Business
ANNE,Anne Arundel,Annapolis,ANNAPOLIS,MUNICIPALITY,C2P,Special Conservation Professional 
ANNE,Anne Arundel,Annapolis,ANNAPOLIS,MUNICIPALITY,C1A,Special Conservation Residence
QUEE,Queen Anne's,Queen Anne's,QUEEN ANNE'S,COUNTY,SHVC,Stevensville Historic Village Center District 
QUEE,Queen Anne's,Queen Anne's,QUEEN ANNE'S,COUNTY,SMPD,Stevensville Master-Planned Development District 
QUEE,Queen Anne's,Queen Anne's,QUEEN ANNE'S,COUNTY,SE,Suburban Estate District
CARO,Caroline,Denton ,DENTON ,MUNICIPALITY,SR,Suburban Residential
GARR,Garrett,Oakland County seat,OAKLAND COUNTY SEAT,MUNICIPALITY,SR,Suburban Residential
GARR,Garrett,Mountain Lake Park,MOUNTAIN LAKE PARK,MUNICIPALITY,SR,Suburban Residential 
CECI,Cecil,Elkton,ELKTON,MUNICIPALITY,R-2,Suburban Residential District
DORC,Dorchester,Dorchester,DORCHESTER,COUNTY,SR,Suburban Residential District
QUEE,Queen Anne's,Queen Anne's,QUEEN ANNE'S,COUNTY,SR,Suburban Residential District
